Proteomics,RNA,ChIP
,,Adam10
,,Stpg1
,,Cyp4a31
,,Fam122a
,,Mir7017
,,Kmt5b
,,D330050G23Rik
,,Cep120
,,Gm11715
,,4930405J17Rik
,,Cc2d1a
,,2900005J15Rik
,,Pom121l2
,,Lhx1
,,Fam161a
,,2610020C07Rik
,,Snrnp27
,,Snrnp35
,,F9
,,Mir706
,,Asb15
,,Nicn1
,,Ap3s2
,,Trap1
,,Sbf1
,,Nudt16l1
,,Mirlet7a-1
,,Thop1
,,Tshz2
,,Atg4c
,,Sav1
,,Elane
,,Cyp2c53-ps
,,Sema4f
,,Snhg17
,,Top2b
,,Mrpl4
,,Pappa2
,,Ddx27
,,Faim
,,Klhl8
,,Ttll3
,,Ube4bos3
,,Cadps2
,,Recql5
,,Gfi1b
,,Nmt1
,,Ndufs3
,,Ermp1
,,Casp8
,,Ssr3
,,Mir6964
,,Pih1d2
,,Zfp839
,,Tnfaip6
,,Chrnb1
,,4930432M17Rik
,,Adgra3
,,Bmp8a
,,Neil2
,,Acer3
,,4930478L05Rik
,,Neurl1a
,,Krt4
,,Zfp467
,,Gm16677
,,Atg12
,,Gm5512
,,Ncf1
,,Stradb
,,Ring1
,,Ap4s1
,,Kif3a
,,Mrps10
,,Ccdc92
,,Gmnn
,,Zcchc9
,,Capza3
,,Phactr4
,,Tgds
,,4930417O22Rik
,,Med4
,,Gatad2b
,,Vegfc
,,Abhd16a
,,Strn
,,1700030C14Rik
,,Uqcrfs1
,,Gm4262
,,Tmed2
,,Ints14
,,Eipr1
,,Gm30731
,,Adh6a
,,Ift172
,,D430042O09Rik
,,Dgkq
,,Lrtm2
,,Pappa
,,Lyzl1
,,Ghitm
,,Smok3c
,,Vps25
,,Igf2bp3
,,Psmc3ip
,,Naa60
,,Urml
,,Mir12203
,,Lrch1
,,2310010J17Rik
,,Nsf
,,Ap2m1
,,Nxt1
,,Taldo1
,,Cd68
,,Stim1
,,Kti12
,,Trps1
,,Gm3086
,,Otc
,,Zfp609
,,Pcnx4
,,Far2
,,Ankrd42
,,Gadd45a
,,Pole4
,,Dnah11
,,1700009N14Rik
,,Ovol3
,,Pip4k2b
,,Cwc22
,,Cd59a
,,Qrich2
,,Mir6368
,,Plekhf2
,,Pik3cb
,,Atp5c1
,,Als2cl
,,A730020M07Rik
,,Ppp3cb
,,Mir26a-2
,,Togaram1
,,St6galnac6
,,Polr2j
,,Reep4
,,Zfp113
,,Gm20594
,,Plekhs1
,,Abitram
,,Olfr225
,,Jmjd4
,,Tbl2
,,Mir8099-1
,,Mrgbp
,,Anks1
,,Trappc1
,,1700054M17Rik
,,Tcta
,,Fbn2
,,Magt1
,,Ctnnbip1
,,Ttc17
,,Gria3
,,Coasy
,,Atf3
,,Gm15787
,,Hinfp
,,Socs4
,,Tgfbr3
,,Rpl35a
,,Plin1
,,Timeless
,,Ntan1
,,Il22ra1
,,Smg5
,,Ubr7
,,Rnaseh2a
,,Cenps
,,Arfgef1
,,Pnpla2
,,Bnip3l
,,Fbxo47
,,Usp32
,,Ing2
,,Rnf227
,,Lrrc55
,,Uqcrh
,,Ppp1r2-ps9
,,Dynll2
,,Kansl2
,,Gm9895
,,Phldb1
,,Vps13a
,,Xpa
,,Thumpd3
,,Hexa
,,Map1lc3a
,,Mir7042
,,Tnip2
,,Dhdds
,,Pex6
,,Top3a
,,Pdpr
,,Pycard
,,Tbp
,,Itga9
,,Patj
,,Oxt
,,Wdr3
,,4632427E13Rik
,,Commd1
,,Rpsa
,,Usp38
,,Rpl14
,,Atp10d
,,Oaz2
,,Pex11b
,,Oxct2a
,,Wdr53
,,Timm23
,,Gtf3c6
,,Acsm4
,,Dnajc19
,,5430434I15Rik
,,Atp5g2
,,Exosc8
,,Tulp4
,,Rnf34
,,Hoga1
,,Rrp12
,,Tmem232
,,Tmem237
,,Gpr89
,,Paxip1
,,Zc3h10
,,Gdpgp1
,,Taf6l
,,Klhl2
,,Zfp747
,,Dhx37
,,Fam186a
,,Lias
,,Tbrg4
,,Stip1
,,Noxo1
,,Gfm2
,,Snord89
,,Hsph1
,,Ghdc
,,Rcc1
,,1700123O20Rik
,,Pde6g
,,Ing4
,,Gpr180
,,Peg10
,,Lgi2
,,Arfgap1
,,Efcab12
,,Zfyve21
,,Tmem165
,,Crb3
,,Tmem11
,,Phb2
,,Agmo
,,Rptor
,,LOC102634389
,,Tmem256
,,Grm8
,,Ifitm1
,,Myl12a
,,Wdr77
,,Slc17a4
,,Chaf1a
,,Pgam5
,,Ubap1
,,Dnajc6
,,Mmp23
,,Prps1l1
,,Ihh
,,Wipf3
,,Ahcyl2
,,Fancl
,,Parg
,,Mlec
,,Snord16a
,,1700037H04Rik
,,Agbl3
,,Gucy1b2
,,Kif20a
,,Ccdc88c
,,Pcmt1
,,Fastkd3
,,Mir6928
,,Gm5
,,Zfp296
,,Rpl4
,,Rpl13a
,,Pgpep1l
,,Ctso
,,1700125H20Rik
,,Pold2
,,Gask1b
,,Wnt7b
,,Cyp2c54
,,Zfp608
,,Arl1
,,Cd82
,,Tmem223
,,D630039A03Rik
,,Cdc42bpa
,,Rab2b
,,Slc26a6
,,Mir6978
,,Adam12
,,Tifa
,,Timm8b
,,Hist1h2ab
,,Ccnyl1
,,Duxbl3
,,Lekr1
,,Prss43
,,Mir1961
,,Fbxl14
,,Polr2f
,,Tcirg1
,,Ing5
,,Mir8093
,,Naip1
,,Krr1
,,Eif2s2
,,1700012C14Rik
,,Rps28
,,Sltm
,,Lin52
,,8030462N17Rik
,,Ciao1
,,Tmem87b
,,Mfsd14a
,,Polr2e
,,Gm5122
,,Snord110
,,Trrap
,,Pip5k1c
,,Rtn4
,,Gm16973
,,Gm20756
,,Cfap53
,,Arih1
,,Uhmk1
,,Cfdp1
,,Gfral
,,Slc49a4
,,Rnf19a
,,Mir148a
,,Snhg11
,,Cdipt
,,Slc35a1
,,Lockd
,,Eif3k
,,Elf2
,,Tctn1
,,St7
,,Babam2
,,Dus2
,,Colq
,,Gga3
,,Zfp991
,,Sf3b4
,,Macrod2
,,Akr1c12
,,Nfat5
,,Fkbp2
,,Cdh19
,,Calcrl
,,Mtmr6
,,Nfxl1
,,Zbtb37
,,Cyc1
,,Sod2
,,Tmem115
,,4930452A19Rik
,,Slc38a7
,,Txk
,,Mir6972
,,Rabl6
,,Ren2
,,Mir670
,,E4f1
,,Ankrd12
,,Tead4
,,Hcls1
,,Polr3a
,,Zbtb12
,,Wdr61
,,Hgsnat
,,Spn
,,Prim1
,,Sil1
,,Pam16
,,Aldh7a1
,,1110038B12Rik
,,Npm3
,,Tmprss9
,,Raver1
,,B130024G19Rik
,,Rprl2
,,L3mbtl1
,,Vps35
,,Bard1
,,Zfp800
,,St7l
,,Mir346
,,Mir681
,,Pex2
,,Fitm1
,,E230025N22Rik
,,Eppk1
,,Lsm14a
,,Dcun1d3
,,Arl10
,,Dcdc2c
,,Deaf1
,,Btbd7
,,Adap1
,,Sec61a1
,,Ugt1a7c
,,Gba
,,Gm20362
,,Nop14
,,Sf3b2
,,Cry1
,,Cdk9
,,Necab2
,,Gm5741
,,Fgf20
,,Gal
,,Gart
,,Rdh14
,,Itgam
,,Limd1
,,Cdk2ap2
,,Zzz3
,,Ccdc85a
,,Pgls
,,Med6
,,Tirap
,,Lrrc32
,,Gm14762
,,Gm38407
,,Zar1l
,,Slc44a3
,,Herpud2
,,Zfp960
,,1110032A03Rik
,,Ttyh2
,,Zfp605
,,Hist1h2bk
,,Cdk5r1
,,Bud13
,,Rcn3
,,Prom1
,,Gm5464
,,Hells
,,1700061J23Rik
,,Mir6539
,,Sf3b6
,,Mir6516
,,Ephx3
,,Cttn
,,Gatb
,,Aif1l
,,Kansl1l
,,Zbtb11
,,Bscl2
,,Tfdp1
,,Rps18
,,Vhl
,,Srebf2
,,Ciao2a
,,Tes
,,Ppcs
,,Mlx
,,Hic2
,,Rbfa
,,Mms19
,,Gtf3c2
,,Mbp
,,Tnfsf13
,,Abhd13
,,Sf3a3
,,Adam4
,,Ndfip2
,,Atp5mpl
,,Prkaca
,,Ptdss1
,,Rsad1
,,Med17
,,Fan1
,,Gm10791
,,Rabl3
,,A230103J11Rik
,,Ddx19b
,,Rint1
,,Nmnat3
,,Eif3l
,,Rsf1os2
,,Akap2
,,Gm5475
,,Zfp82
,,Mkrn2
,,Ccr7
,,Epb41l4aos
,,4930449E18Rik
,,Mfap1a
,,Gna13
,,6030471H07Rik
,,Nudt5
,,Ndufs8
,,Strap
,,Zfp260
,,Rfx7
,,B3gat1
,,Pros1
,,Pxt1
,,Syce2
,,Sync
,,Slk
,,Trmt1l
,,Kank3
,,Rec8
,,Appbp2
,,Ddt
,,Bloodlinc
,,Tff3
,,Mir30c-2
,,Dtd2
,,Clec10a
,,Rnf168
,,Mir6399
,,Npas1
,,Cdh1
,,Fzd4
,,Zfp868
,,Poldip2
,,Cdyl
,,Sft2d2
,,Moap1
,,Mapre2
,,Arcn1
,,Cldn34c1
,,Olfr695
,,Abi2
,,Lpin3
,,Ndufs2
,,Slc25a16
,,4932414J04Rik
,,Mysm1
,,Ufsp2
,,Ube3c
,,Robo1
,,Trappc8
,,Timm10
,,Ssu72
,,Them5
,,Vps4b
,,D130043K22Rik
,,Slc41a1
,,Zdhhc5
,,Olfr784
,,Dctn6
,,Emilin1
,,Akap5
,,Klhl22
,,Higd1a
,,Memo1
,,Tll2
,,4930528P14Rik
,,Fhod3
,,Hectd2
,,Zmynd19
,,Steap3
,,Desi1
,,Gpc5
,,1700012B07Rik
,,Tmem269
,,Gmeb1
,,Slc5a1
,,Eif5b
,,Ralbp1
,,Asb8
,,4930474G06Rik
,,Kcmf1
,,Tmem68
,,Lss
,,Spata17
,,Spryd3
,,Socs7
,,Esrp2
,,Zfp426
,,Polr2d
,,5730408K05Rik
,,Ercc6l2
,,Anapc4
,,Cdk7
,,Mfhas1
,,Nck1
,,Secisbp2
,,Psmc1
,,Ppdpf
,,Mtx1
,,Cox7b
,,Lrrc25
,,Bcl7a
,,Dnase1l2
,,C730029A08Rik
,,Dap3
,,Papln
,,Themis
,,Gm7244
,,Gm8579
,,4931414P19Rik
,,Gnas
,,Mrrf
,,Mrps31
,,Pisd-ps2
,,Rsbn1l
,,Cnot4
,,Tmem189
,,Mul1
,,Nfe2
,,Mir760
,,Trip12
,,Nr1h2
,,Jazf1
,,Cdca7l
,,S100pbp
,,9330162012Rik
,,Rbfox1
,,Mir12198
,,Chrm3
,,Agrp
,,4930503H13Rik
,,E130317F20Rik
,,Napepld
,,Tmprss11e
,,C1qbp
,,Mir3072
,,Serinc4
,,Zbed6
,,Vmn1r221
,,Gatad2a
,,Srbd1
,,Tdp1
,,Rpl7a
,,Sec62
,,Hist1h1t
,,Gm19522
