Lipid,log2(FC),-log10(p),sig_FDR,diffexpressed,delabel,label,FC,p_val
FAHFA 18:2_20:4,1.205329949,3.4419,TRUE,UP,FAHFA 18:2_20:4,sig,2.3059,4.00E-04
FAHFA 22:6_22:5,1.813524689,2.7366,TRUE,UP,FAHFA 22:6_22:5,sig,3.515,0.0018
GlcADG 16:0_22:6,-0.115910091,0.1346,FALSE,NO,NA,not,0.9228,0.7335
GM3 d42:2,0.193456366,0.4419,FALSE,NO,NA,not,1.1435,0.3615
HBMP 60:12,0.531967777,0.5299,FALSE,NO,NA,not,1.4459,0.2952
HBMP 62:13,0.545474211,1.0211,TRUE,UP,HBMP 62:13,sig,1.4595,0.0953
HexCer_NS d17:1_23:1,0.283092058,0.6961,FALSE,NO,NA,not,1.2168,0.2013
HexCer_NS d18:1_20:0,0.149389449,0.306,FALSE,NO,NA,not,1.1091,0.4943
HexCer_NS d18:1_21:0,-0.067636409,0.1277,FALSE,NO,NA,not,0.9542,0.7452
HexCer_NS d18:1_22:0,-0.012315322,0.0284,FALSE,NO,NA,not,0.9915,0.9367
HexCer_NS d18:1_24:2,-0.189022283,0.4494,FALSE,NO,NA,not,0.8772,0.3553
HexCer_NS d18:2_22:0,0.176195095,0.492,FALSE,NO,NA,not,1.1299,0.3221
HexCer_NS d34:1,0.091395186,0.3958,FALSE,NO,NA,not,1.0654,0.402
HexCer_NS d40:1,0.011924948,0.0241,FALSE,NO,NA,not,1.0083,0.946
HexCer_NS d40:2,0.27727066,0.5148,FALSE,NO,NA,not,1.2119,0.3056
HexCer_NS d41:1,-0.602306545,1.0628,TRUE,DOWN,HexCer_NS d41:1,sig,0.6587,0.0865
HexCer_NS d41:2,0.170053235,0.48,FALSE,NO,NA,not,1.1251,0.3311
HexCer_NS d42:1,-0.041565605,0.1169,FALSE,NO,NA,not,0.9716,0.764
HexCer_NS d42:2,0.020768865,0.0446,FALSE,NO,NA,not,1.0145,0.9024
HexCer_NS d43:1,0.13920752,0.2668,FALSE,NO,NA,not,1.1013,0.541
LPA 16:0,0.745710622,1.6019,TRUE,UP,LPA 16:0,sig,1.6768,0.025
LPC 0:0/16:0,0.068602027,0.1188,FALSE,NO,NA,not,1.0487,0.7607
LPC 0:0/18:0,0.045442971,0.096,FALSE,NO,NA,not,1.032,0.8017
LPC 0:0/18:1,0.341416524,0.6343,FALSE,NO,NA,not,1.267,0.2321
LPC 0:0/18:2,0.350044566,0.8006,FALSE,NO,NA,not,1.2746,0.1583
LPC 0:0/20:3,-0.064615689,0.0738,FALSE,NO,NA,not,0.9562,0.8437
LPC 0:0/20:4,0.243912759,0.4207,FALSE,NO,NA,not,1.1842,0.3796
LPC 0:0/20:5,0.150949541,0.3245,FALSE,NO,NA,not,1.1103,0.4737
LPC 0:0/22:6,0.257493448,0.5091,FALSE,NO,NA,not,1.1954,0.3097
LPC 14:0/0:0,0.727267011,2.5752,TRUE,UP,LPC 14:0/0:0,sig,1.6555,0.0027
LPC 15:0/0:0,0.548337976,1.8568,TRUE,UP,LPC 15:0/0:0,sig,1.4624,0.0139
LPC 16:0/0:0,0.13066734,0.2299,FALSE,NO,NA,not,1.0948,0.589
LPC 16:0/0:0_2,0.15704371,0.7611,FALSE,NO,NA,not,1.115,0.1733
LPC 16:1/0:0,0.680324357,1.6675,TRUE,UP,LPC 16:1/0:0,sig,1.6025,0.0215
LPC 17:0/0:0,0.120750053,0.3714,FALSE,NO,NA,not,1.0873,0.4252
LPC 17:1/0:0,0.549225575,1.3562,TRUE,UP,LPC 17:1/0:0,sig,1.4633,0.044
LPC 18:0/0:0,0.218471211,0.6336,FALSE,NO,NA,not,1.1635,0.2325
LPC 18:1/0:0,0.256406854,0.6847,FALSE,NO,NA,not,1.1945,0.2067
LPC 18:2/0:0,0.39429462,1.159,TRUE,UP,LPC 18:2/0:0,sig,1.3143,0.0693
LPC 18:2/0:0_2,0.510658162,2.5416,TRUE,UP,LPC 18:2/0:0_2,sig,1.4247,0.0029
