RT,mz,Theo mz,Abundance,Lipid Class,Compound Name
8.987,880.6072,880.6073,57960,Phosphatidylcholine,PC 18:0_22:5
9.862,609.5573,NA,57337,NA,NA
0.482,286.0606,NA,56640,NA,NA
7.16,748.4921,748.4923,56284,Phosphatidylethanolamine,PE 15:0_22:6
9.028,804.5548,NA,55573,NA,NA
14.181,1449.9772,1449.9806,55565,Cardiolipin,CL 72:7
0.659,533.3122,NA,55222,NA,NA
13.382,724.4869,NA,55187,NA,NA
9.395,663.5204,NA,54976,NA,NA
0.598,582.272,NA,54795,NA,NA
0.759,681.3855,NA,54427,NA,NA
9.191,764.581,764.5811,54426,Ether-linked phosphatidylcholine,EtherPC 16:0e_16:0
3.756,636.3494,NA,54169,NA,NA
12.053,686.6042,NA,54127,NA,NA
10.108,804.5911,NA,53992,NA,NA
9.348,730.5391,730.5392,53944,Phosphatidylethanolamine,PE 17:0_18:1
11.31,927.6781,NA,53899,NA,NA
11.302,872.6828,NA,53743,NA,NA
9.866,802.5753,NA,53501,NA,NA
5.267,283.2643,283.2643,53423,Free fatty acid,FA 18:0
0.948,385.2232,NA,53412,NA,NA
12.828,1471.9634,1471.9649,53300,Cardiolipin,CL 74:10
10.911,913.6627,NA,53215,NA,NA
12.325,764.6403,NA,52880,NA,NA
12.403,708.6508,708.6511,52794,Ceramide non-hydroxyfatty acid-dihydrosphingosine,Cer_NDS d16:0_27:1
7.704,885.5506,885.5499,52583,Phosphatidylinositol,PI 18:0_20:4
6.608,824.5442,NA,52454,NA,NA
0.479,166.0182,NA,52056,NA,NA
3.924,787.5518,787.5495,51764,Phosphatidylglycerol,PG 18:1_19:1
12.396,696.6518,NA,51707,NA,NA
3.937,419.18,NA,51378,NA,NA
9.33,856.607,856.6073,51369,Phosphatidylcholine,PC 18:0_20:3
7.744,900.561,NA,51189,NA,NA
8.982,792.5547,NA,51029,NA,NA
6.443,798.5289,798.5291,50682,Phosphatidylcholine,PC 16:1_18:3
10.367,730.5755,730.5756,50419,Ether-linked phosphatidylethanolamine,EtherPE 18:0e_18:1
9.463,818.5703,818.5705,50395,Phosphatidylethanolamine,PE 20:0_22:6
1.523,619.2885,619.2889,49904,Lysophosphatidylinositol,LPI 20:4
9.432,915.5967,915.5968,49822,Phosphatidylinositol,PI 20:0_20:3
7.951,1496.0686,NA,49771,NA,NA
9.609,776.5597,776.56,49344,Ether-linked phosphatidylethanolamine,EtherPE 18:1e_22:5
5.329,1001.4769,NA,48908,NA,NA
2.578,608.318,NA,48618,NA,NA
3.922,635.5256,NA,48402,NA,NA
12.41,776.6384,NA,48355,NA,NA
7.124,618.4769,NA,48218,NA,NA
9.898,800.6251,800.6257,48199,Hexosylceramide non-hydroxyfatty acid-dihydrosphingosine,HexCer_NDS d38:1
8.599,650.4976,NA,48158,NA,NA
6.887,836.5443,836.5447,48152,Phosphatidylcholine,PC 15:0_22:6
0.859,499.3063,NA,48113,NA,NA
0.601,276.0775,NA,47908,NA,NA
9.642,636.5571,NA,47651,NA,NA
5.857,867.5179,867.5182,47524,Phosphatidylglycerol,PG 22:5_22:6
11.905,695.639,NA,47361,NA,NA
6.503,760.4922,760.4923,47164,Phosphatidylethanolamine,PE 18:2_20:5
6.402,616.4616,NA,47143,NA,NA
8.762,724.5288,724.5287,47133,Ether-linked phosphatidylethanolamine,EtherPE 36:4e
6.151,822.5289,822.5291,47040,Phosphatidylcholine,PC 16:1_20:5
4.553,370.2786,NA,46847,NA,NA
1.875,476.2781,476.2783,46806,Lysophosphatidylethanolamine,LPE 18:2
7.587,750.5287,750.5291,46779,Phosphatidylcholine,PC 14:0_16:0
11.635,780.6333,NA,46555,NA,NA
1.979,500.2781,500.2783,46524,Lysophosphatidylethanolamine,LPE 20:4
3.829,616.2844,NA,46475,NA,NA
6.554,821.5332,NA,46362,NA,NA
1.459,555.2727,555.2728,46320,Lysophosphatidylglycerol,LPG 22:6
